Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name Something Some People Jump Out Of,Airplane,49.0,Bed,26.0,Boat,12.0,Cake,9.0,,,,,,
Name Something Everybody Knows About Turkeys.,Gobble,47.0,Thanksgiving,25.0,Tast Good,22.0,Can’t Fly,3.0,,,,,,
Name Something You Lie To Your Boss About.,Sick/Absence,52.0,Lateness,39.0,Resume/Expeirience,3.0,Can’t Work Overtime,2.0,,,,,,
Name A Coffee Drink People Order While Theyre Out But Cant Make At Home,Late,62.0,Esspresso,17.0,Mocha,10.0,Cappuccino,10.0,,,,,,
Name Something That People Today Probably Wash More Than They Need To.,Hair,36.0,Clothes/Pants,31.0,Hands,15.0,Car,13.0,,,,,,
Name A Type Of Reservation That Often Gets Lost,Hotel,46.0,Dinner,29.0,Plane,21.0,Car Rental,3.0,,,,,,
Name A Game Teenagers Play At Parties,Spin The Bottle,69.0,Twister,10.0,Quarters,8.0,Cards,8.0,,,,,,
Name A Complaint People Might Have About Their Teeth,Not White Enough,58.0,Hurt,17.0,Crooked,13.0,Cavity,7.0,,,,,,
Name Something In Their Home That An Extremely Organized Person Might Alphabetize.,Books,51.0,Movies,19.0,Food,16.0,CDS,12.0,,,,,,
If Santa Claus Had To Enter The Witness Protection Program Name Something He Might Do To Disguise His Appearance.,Shave,53.0,Lose Weight,24.0,Dye His Hair,12.0,Change Clothes,8.0,,,,,,
Name Someone Specific In A Bank Robbers Life That he Doesnt Want To Find Out About His Illegal Activity,Parents,48.0,Spouse,31.0,Parole Officer,12.0,Children,7.0,,,,,,
Name Something On A Kids Playground That Adults Could Use As Exercise Equipment.,Monkey Bars,66.0,Swing,24.0,See Saw,6.0,Chinup Bar,3.0,,,,,,
What Event Might Someone Attend Without Their Spouse That Would Make You Think They Broke Up?,Wedding,52.0,Party,32.0,Reunion,6.0,Christmas,5.0,,,,,,
Name Something That Every Family Does Immediately When They Win Family Feud,Scream,52.0,Jump,25.0,Hug,12.0,Clap,7.0,,,,,,
Tell Me A Place In The Newspaper Where You Wouldnt Want To See Your Name.,Obituaries,48.0,Front Page,27.0,Crime Log/Courts,15.0,Classified,9.0,,,,,,
Name Something Women Talk About During A “Girls Night Out.”,Dating/Relationships,63.0,Kids,14.0,Work,11.0,Clothes,9.0,,,,,,
Name Something That Causes A Person To Laugh.,Jokes,39.0,Being Tickled,33.0,TV Show/Movie,13.0,Clown,11.0,,,,,,
Name A Breed Of Dog That Would Never Scare Away A Burglar.,Chihauhua,45.0,Poodle,41.0,Dashound,8.0,Cocker Spanial,6.0,,,,,,
Name A Responsibility That Most Married Couples Share,Finances,43.0,House Chores,26.0,Childcare,22.0,Cooking,5.0,,,,,,
If You Could Have Just One Chore That Someone Else Would Always Do For You What Would It Be? (More Specific Than “Clean.”),Wash Dishes,49.0,Laundry,27.0,Clean Toilet,14.0,Cooking,6.0,,,,,,
Name A Halloween Costume That Is A Complete Misrepresentation Of The Occupation It Portrays.,Nurse,61.0,Doctor,16.0,Housekeeper,13.0,Cop,8.0,,,,,,
Name Something People Wore More Of In The 1800s Than They Do Today,Hats/Bonnets,45.0,Dresses/Hoop Skirts,25.0,Wigs,16.0,Corsets,12.0,,,,,,
Name The Best Kind Of Music To Dance To With Someone You Want To Be Close To,Slow,36.0,Waltz,33.0,Jazz,20.0,Country,7.0,,,,,,
What Signs Of Being A “Bad Boy” Might A Woman Be Attracted To?,Tattoos,41.0,Motorcycle,28.0,Rebelious Outfit,24.0,Criminal Record,3.0,,,,,,
Even Though Its A Beautiful Place To Visit Name A Reason Why You Might Not Want To Live In Hawaii,Far Away,41.0,Rains Too Much,21.0,Expensive,16.0,Crowded,16.0,,,,,,
Name Something That May Include A Meal In The Ticket Price.,Concert,42.0,Flight,28.0,Movie,15.0,Cruise,12.0,,,,,,
If A Groom Was Extremely Nervous About Getting Married What Might He Do At The Alter?,Faint,46.0,Sweat,32.0,Run,14.0,Cry,4.0,,,,,,
Name Something You Do When Your Computer Freezes Up.,Re Boot,49.0,Walk Away,29.0,Yell,11.0,Curse,6.0,,,,,,
Past Or Present Name A Famous Magician,Harry Houdini,60.0,David Copperfield,17.0,Merlin,14.0,David Blane,7.0,,,,,,
Which Endearment Would Many Women Be Annoyed To Hear A Stranger Call Them By?,Honey,50.0,Baby,29.0,Sweetie,10.0,Dear,10.0,,,,,,
If Dog Owners Demanded Fido Get A Job What Job Might He Be Good At?,Guarding/Security,58.0,Digging Holes,20.0,Track People/Police,11.0,Deliver Papers,6.0,,,,,,
Name A Piece Of Information That You Write Down When Youre On Your Way To Meet Your Blind Date.,Address/Location,40.0,Dates Name,32.0,Phone Number,14.0,Description Of Date,8.0,,,,,,
Name Something From School That A Kid Might Try To Hide From Their Parents.,Report Card/Grades,50.0,Note From Teacher,21.0,Homework,17.0,Detention/Discipline,9.0,,,,,,
Name Something You Never Leave Unlocked. (More Specific Than “Door”.),Car,36.0,Safe,30.0,House,27.0,Diary,5.0,,,,,,
Name A Topic That People Might Whisper About.,Their Love Lives,46.0,Infidelity,35.0,Rumor,7.0,Divorce,6.0,,,,,,
Name A Person Or Character Who Is Referred To As “Lady.”,Lady Gaga,33.0,Royalty/Princess Diana,30.0,First Lady,20.0,Dog/Lady And The Tramp,16.0,,,,,,
Name Something People Go To A Professional To Have Cleaned.,Teeth,59.0,Clothes,29.0,Carpet,9.0,Drapes,2.0,,,,,,
Name Something A Game Show Host Has To Do Even On A Day When He Doesnt Feel Like It.,Put On A Happy Face,44.0,Make Conversation,37.0,Go To Work,15.0,Dress Up,3.0,,,,,,
Tell Me Something That Americans Want To Do While Visiting France.,Eat French Cuisine,58.0,Shop,18.0,See Eiffel Tower,18.0,Drink Wine,4.0,,,,,,
Name Something A Driver Might Do That Would Cause You To Write Down His Cars License Number.,Hit And Run,24.0,Cut In Front,20.0,Drunk Driving,16.0,Drive Recklessly,6.0,,,,,,
What Might A Chef Do While Cooking That Would Ruin The Whole Dish?,Burn It,45.0,Sneeze,32.0,Too Much Salt,11.0,Drop It,8.0,,,,,,
Name A Game You Need Dice To Play.,Monopoly,45.0,Yatzee,34.0,Craps,14.0,Dungeos & Dragons,5.0,,,,,,
Name Something Its Probably Much Harder To Do In Outer Space Than It Is On Earth.,Breathe,37.0,Walk,34.0,Go To The Bathroom,16.0,Eat,13.0,,,,,,
If You Were Dating A Real Knight In Shining Armor Name Something Youd Have Difficulty Doing Together.,Kissing/Snuggling,47.0,Walking,19.0,Dancing,14.0,Eating,14.0,,,,,,
Name An Actor Who Uses Or Used Their Middle Initial.,Michael J Fox,66.0,Samuel L Jackson,13.0,George C Scott,11.0,Edward G Robinson,9.0,,,,,,
Name Something That Can Be Stuffed.,Turkey,45.0,Animals,41.0,Pillows,5.0,Eggs,4.0,,,,,,
Name Something People Try To Squeeze Into (More Specific Than “Clothes”).,Jeans,40.0,Gown,27.0,Car,22.0,Elevator,7.0,,,,,,
Which Part Of A Newspaper Would A Teenager Likely Read First?,Comics,51.0,Sports,38.0,Horoscope,4.0,Entertainment,3.0,,,,,,
Name A Big Event That Happens To TV Characters In Order To Up Ratings.,Death,44.0,Wedding,36.0,New Baby,10.0,Fall In Love,6.0,,,,,,
Name A Day Of The Year When Most People Call Home.,Christmas,65.0,Mother’s Day,22.0,Thanksgiving,8.0,Family Birthday,3.0,,,,,,
Name Something People Know More About If They Read The Tabloids In The Checkout Line.,Celebs/ScandlesCelebs/Scandals,73.0,Aliens,13.0,Diets,8.0,Fashion,4.0,,,,,,
What Would You Have To Learn To Do Before Starring In A John Wayne Movie?,Ride A Horse,56.0,Shoot,17.0,Act,13.0,Fight,11.0,,,,,,
Name Something Our Ancient Ancestors Might Have Danced To Celebrate.,Rain,37.0,Wedding,31.0,Birth,20.0,Finding Food,7.0,,,,,,
Name The Hardest Position To Play On A Baseball Team,Pitcher,41.0,Catcher,39.0,Shortstop,12.0,First Base,8.0,,,,,,
Tell Me Something You Might Find In A Bankrobbers Suitcase.,Money,57.0,Weapon,34.0,Mask,6.0,Flashlight,3.0,,,,,,
Name Something You Would Be Surprised To Find In A Bachelors Bathroom,Feminine Products,46.0,Make Up,26.0,Perfume,14.0,Flowers,9.0,,,,,,
Name Something That People Normally Dont Pay Cash For.,Car,53.0,Gas,20.0,House,20.0,Food,5.0,,,,,,
Name A Body Part That Often Gets Broken,Arm,47.0,Leg,28.0,Finger,17.0,Foot,4.0,,,,,,
Besides Math Name The Most Difficult Subject In School,Science,48.0,English,27.0,History,18.0,Foreign Language,3.0,,,,,,
Name Something You Do To Prepare For Out-Of-Town Visitors.,Clean,56.0,Cook,28.0,Buy Food,12.0,Freshen Up Room,3.0,,,,,,
Tell Me The First Big Item You Buy When Moving To A New House.,Bed,32.0,Couch,30.0,TV,26.0,Fridge,8.0,,,,,,
Name Something That Has Pineapple In It.,Upside Down Cake,60.0,Pizza,15.0,Drink,12.0,Fruit Salad,8.0,,,,,,
Name Something Bad That Might Happen TO A Magicians Assistant During A Performance.,Cut In Half,46.0,Disappear,25.0,Trip,14.0,Get Hit By A Knife,13.0,,,,,,
Name An Event That Men Are Usually Not Invited To,Baby Showers,54.0,Bridal Showers,32.0,Bachelorette Party,7.0,Girls Sleepover,2.0,,,,,,
Name A Dessert That Can Only Be Eaten With A Spoon.Name Something A Man Might Still Do For Woman When They Go Out On A Date,Open Doors,76.0,Pay For Dinner,14.0,Compliment Her,4.0,Give Her Flowers,2.0,,,,,,
Name Something People Often Lose,Keys,47.0,Money,39.0,Minds,6.0,Glove,3.0,,,,,,
Name A Color Baby Clothes Comes in.,Pink,50.0,Blue,37.0,Yellow,11.0,Green,2.0,,,,,,
Name A Breakfast Item That You Order But Can Never Finish,Pancakes,51.0,Omelet,36.0,Coffee,6.0,Grits,4.0,,,,,,
What Do You Do When Someone Tells A Joke Thats Not Actually Funny?,Smile,45.0,Fake Laugh,42.0,Ignore It,7.0,Groan,4.0,,,,,,
At The End Of The Day Name Something Indiana Jones Might Put Away In His Closet.,Hat,42.0,Whip,38.0,Knife,9.0,Gun,8.0,,,,,,
Name A Part Of A Dolls Body That Might Be Movable,Head,47.0,Arms,28.0,Legs,13.0,Hand,7.0,,,,,,
Name Something Thats More Likely To Happen To You If Youre Hanging Out At A Bar.,Get Drunk,52.0,Get In A Fight,32.0,Get Hit On,6.0,Have A Cigarette,5.0,,,,,,
How Can You Tell The Jewelry Your Partner Gives You Is Made Of Fake Gold?,Turns Skin Green,56.0,Bite It/Bendable,30.0,Scratches Easily,8.0,Have It Appraised,3.0,,,,,,
What Might You Want To Bring With You When Babysitting An Infant Who Cries A Lot?,Pacifier,38.0,Ear Plugs,36.0,Toys,19.0,Headphones,6.0,,,,,,
Name The Worst Thing To Criticize Your Mother-In-Law For,Her Cooking,37.0,Her Parenting,38.0,Her Appearance,25.0,Her Housekeeping,9.0,,,,,,
Name Something You Do While Birdwatching That You Might Also Do While Hunting,Shoot(Picture),44.0,Use Binoculars,32.0,Be Quiet,25.0,Hide,7.0,,,,,,
Name An Activity For Which You Might Use Walkie Talkies.,Camping,46.0,Hiking,37.0,Hunting,25.0,Hide And Seek,10.0,,,,,,
If Einstein Failed A Subject In School What Might It Have Been?,English/Language,41.0,Physical Ed,34.0,Art,13.0,History,9.0,,,,,,
Name A Sport That You Cant Play Without A Team,Football,39.0,Baseball,31.0,Soccer,17.0,Hockey,9.0,,,,,,
Name Another Word For A “Bar” That A Cowboy Might Use,Saloon,51.0,Tavern,47.0,Watering Hole,13.0,Honky Tonk,5.0,,,,,,
Tell Me An Excuse That A Tough Guy Might Give If He Were Caught Watching A Soap Opera,By Mistake,32.0,For Wife,31.0,Asleep,25.0,Hot Actress,8.0,,,,,,
What Kind Of Food Should Not Be Served At A Wedding?,Pizza,44.0,Hamburgers,21.0,Sanswiches,16.0,Hot Dogs,15.0,,,,,,
Name An Occupation Youd Be Tempted To Enter If You Liked To Snoop,Espionage,34.0,Police,26.0,News Reporter,22.0,Housekeeping,10.0,,,,,,
Name A Book Where The Main Hero Is A Kid.,Harry Potter,76.0,Peter Pan,10.0,Tom Sawyer,9.0,Huck Finn,3.0,,,,,,
Name An Announcement That Youd Hate For Your Boss To Overhear You Making,I’m Quitting,43.0,I’m Pregnant,29.0,I Got A New Job,23.0,I Hate This Job/Boss,11.0,,,,,,
Name Something Specific A Rental Car Company Checks When You Return Your Car.,Mileage,38.0,Gas,34.0,If There Is Damage,15.0,If It is Clean,12.0,,,,,,
Name Something Embarrassing That You Might Do While Listening To Headphones.,Sing,52.0,Speak Loudly,22.0,Dance,13.0,Ignore Someone,8.0,,,,,,
If You Were Able To See The Future Name A Way That Youd Be Able To Make A Lot Of Money.,Lottery Numbers,52.0,Betting/Horse Races,20.0,Investment,18.0,Invention,9.0,,,,,,
Name Something About Alaska That Non-Residents Might Romanticize,Snow/Cold,54.0,Wildlife,18.0,Darkness,16.0,Isolation/Nature,9.0,,,,,,
Name Something A Carjacker Would Hate To Discover About The Car He Stole,Out Of Gas,42.0,It’s A Police Car,22.0,Fas GPS,19.0,It Doesn’t Run,13.0,,,,,,
Name Something You Might Find An Olive In.,Martini,67.0,Salad,18.0,Pizza,10.0,Jar,3.0,,,,,,
Tell Me A Game Show Thats Been Around Forever.,Price Is Right,59.0,Family Fued,14.0,Wheel Of Fortune,14.0,Jeopardy,9.0,,,,,,
We Asked 100 Husbands: Name Something Your Wife Spends More Money On Than You Do.,Clothes,58.0,Hair Products,27.0,Make Up,7.0,Jewelry,4.0,,,,,,
Name A Kind Of beam You Wouldnt Want To Balance On.,Light/Sun Beam,44.0,Laser Beam,28.0,Roof Beam,20.0,Jim Beam,3.0,,,,,,
Name An Athlete Whos Appeared On A Wheaties Box.,Tiger Woods,44.0,Michael Jordan,38.0,Mary Lou Retton,12.0,Joe Montana,5.0,,,,,,
Past Or Present Name A TV Judge.,Judge Judy,63.0,Judge Mathis,20.0,Judge Wapner,7.0,Judge Joe Brown,6.0,,,,,,
Name Something People Are Often Trying To Get Out Of Doing.,Work,38.0,Homework,35.0,Chores,14.0,Jury Duty,13.0,,,,,,
Name Something Parents Should Do To Be Sure That Their Kids Have A Safe Halloween.,Go With Them,47.0,Check Candy,28.0,Bright Costume,16.0,Keep Home,7.0,,,,,,
Name An Organ In The Body That Many People Should Take Better Care Of,Heart,37.0,Liver,26.0,Lungs,23.0,Kidney,13.0,,,,,,
Name Something That People Could Watch For Hours.,TV/Movies,66.0,Pets/Animals,12.0,Sports,12.0,Kids,8.0,,,,,,
Name A City Associated With Organized Crime,New York,53.0,Chicago,34.0,Los Angeles,7.0,Las Vegas,5.0,,,,,,
Name A Popular Flavor Of Sherbet.,Orange,76.0,Lime,12.0,Strawberry,7.0,Lemon,5.0,,,,,,
Name Something You Started Seeing Less Of Since Cell Phones Became Popular,Pay Phones,36.0,Home Phones,26.0,Pagers,23.0,Letters,11.0,,,,,,
Tell Me Something You Might Buy For The Prom,Dress/Tux,59.0,Corsage,29.0,Shoes,7.0,Limo,3.0,,,,,,
Name Someone Real Or Fictional Whose Name Starts With Little,Little Richard,30.0,Little John,25.0,Little Red Riding Hood,24.0,Little Bo Peep,19.0,,,,,,
Name Something A Cat In A Movie Can Do That A Real-Life Cat Can,Talk,58.0,Sing,21.0,Dance,7.0,Live Nine Lives,5.0,,,,,,
Name A Famous Pirate,Jack Sparrow,44.0,Captain Hook,33.0,Blackbeard,19.0,Long John Silver,3.0,,,,,,
Name Something People Do More Of When Theyre Tired,Sleep,50.0,Yawn,25.0,Eat,9.0,Lose Temper,5.0,,,,,,
Name Something You Tell Someone Is Going To Hurt You More Than Them.,Spanking,46.0,Breaking Up,28.0,Shot,14.0,Loss Of Privileges,9.0,,,,,,
Tell Me Something A Dog Cant Stand.,Cats,61.0,Getting A Bath,18.0,Vacuum Cleaner,5.0,Mail Carrier,5.0,,,,,,
Name A Skill That Parents Hope Their Children Have By The Time They Buy A Home.,Good With Money,45.0,Cooking,26.0,Cleaning,14.0,Maintainance,11.0,,,,,,
Name Something That Dogs Are Always Able To Do That People Can Only Do On A Camping Trip.,Pee Outside,50.0,Sleep Anywhere,28.0,Catch Food,12.0,Make Lots Of Noise,8.0,,,,,,
In Todays World Name Something That Helps People Stay “Forever Young.”,Plastic Surgery,39.0,Exercise,35.0,Vitamins,10.0,Makeup,6.0,,,,,,
Name A Famous Person Whose Last Name Is Allen,Woody Allen,34.0,Tim Allen,30.0,Debbie Allen,23.0,Marcus Allen,8.0,,,,,,
Name A Place Where You Need An Appointment.,Doctor,63.0,Dentist,22.0,Hair Salon,8.0,Mechanic,3.0,,,,,,
Name Something You Would Not Want To Buy At A Dollar Store.,Food,45.0,Clothes,37.0,Birth Control,11.0,Medicine,5.0,,,,,,
Tell Me A Nickname For A Woman Named “Margaret.”,Marge/Margie,36.0,Maggie,31.0,Peggy/Peg,17.0,Meg,13.0,,,,,,
Name A Cartoon Character That Can Fly,Dumbo,47.0,Tinkerbell,24.0,Peter Pan,19.0,Mighty Mouse,8.0,,,,,,
Name A Place Where You Might See A Bear.,Woods,48.0,Zoo,32.0,National Park,14.0,Mountains,5.0,,,,,,
Name Something You Might See Pictured On A Postcard From Alaska.,Snow,42.0,Iceberg,31.0,Polor Bear,14.0,Mountains,9.0,,,,,,
What Must A Town Have To Make It A Popular Winter Destination?,Snow,44.0,Skiing,32.0,Resorts,13.0,Mountains,7.0,,,,,,
If You Were Staying Overnight At A Friends And Forgot Your Toothbrush Name Something You Might Do.,Use My Finger,59.0,Buy A New One,19.0,Ask For An Extra,9.0,Mouthwash,9.0,,,,,,
Name Something A Parent Might Scold A Child For Interrupting,Conversation,59.0,Date,18.0,Work/Meeting,11.0,Movie/TV Show,10.0,,,,,,
Name A Specific Chore Kids Do In Order To Get An Allowance.,Wash Dishes,44.0,Take Out Trash,26.0,Clean Room,15.0,Mow Lawn,10.0,,,,,,
Name A Party Game That Youd Be Surprised To Find At An Adults Birthday.,Pin The Tail,54.0,Twister,20.0,Spin The Bottle,13.0,Musical Chairs,9.0,,,,,,
We Asked 100 Women To Fill In The Blank: Id Notice Right Away If _____ Was Missing From My Purse.,Money,52.0,Make Up,34.0,My Cell Phone,6.0,My Keys,4.0,,,,,,
When Meeting A Blind Date Name An Accessory You Might Wear So They Know Its You.,Hat,35.0,Jewelry,28.0,Flower,24.0,Nametag,10.0,,,,,,
Name A Place In The World Where People Might Go To Get Married,Las Vegas,61.0,Hawaii,19.0,Paris,16.0,Niagra Falls,3.0,,,,,,
How Could You Tell That Someones ID Is Fake?,Photo Doesn’t Match,57.0,Made Up Name,28.0,Expired Date,10.0,No Seal,3.0,,,,,,
Name A Complaint A Person Might Have About Their Cable TV Company.,Bad Reception,38.0,Cost To Much,30.0,Bad Service,15.0,Not Enough Channels,12.0,,,,,,
Name A Term That Describes Someone Who Comes In At First Place,Winner,85.0,Champion,5.0,Early Bird,3.0,Number 1,2.0,,,,,,
Name Something You Associate With Jerry Lewis.,Telethon,58.0,Comedy,17.0,Dean Martin,13.0,Nutty Proffesor,8.0,,,,,,
When Shopping Name A Way You Can Tell If Someone Is A Sales Clerk,Name Tag,59.0,Wears Uniform,32.0,Follows You,3.0,Offers Help,3.0,,,,,,
Name Something You Might Do To Keep Your House Cool On A Hot Day,Air Conditioning,73.0,Turn On The Fan,13.0,Close Blinds,9.0,Open Windows,5.0,,,,,,
Name A Celebrity Who Youd Like To Be BFFs With Just So You Could Get The Scoop On Her Personal Life.,Angelina Jolie,45.0,Jennifer Aniston,23.0,Kim Kardashian,12.0,Oprah,6.0,,,,,,
Name A Fruit Juice Thats Very Bitter.,Grapefruit,37.0,Lemon,32.0,Cranberry,19.0,Orange,10.0,,,,,,
If James Bond Were A Real Man Name Something That Probably Would Have Happened To Him By Now.,He’d Be Dead,70.0,Gotten Old,15.0,Gotten Injured,6.0,Out Of Work,5.0,,,,,,
Name Something Youd Love To Wake Up To The Smell Of. (More Specific Than “Food.”),Coffee,41.0,Bacon,34.0,Flowers,17.0,Pancakes,6.0,,,,,,
In The Office Name Something That People Borrow But Almost Never Return?,Pen/Pencil,51.0,Money,26.0,Stapler,10.0,Paper,6.0,,,,,,
We Asked 100 Wives: Name Something Specific You Wish Your Husband Would Be More Helpful With Around The House,Dishes,42.0,Laundry,31.0,Cooking,14.0,Parenting,11.0,,,,,,
Name A Reason Why You Wouldnt Want Metallica As Your Wedding Band,Too Loud,52.0,Not Romantic,34.0,Too Expensive,5.0,Parents Disapprove,5.0,,,,,,
Name A Reason Why A Teen Might Swear Off Love.,Broken Heart,52.0,Too Young,30.0,Scared Of It,11.0,Parents Foebid It,6.0,,,,,,
Name The Most Romantic Place To Go On A First Date.,Beach,46.0,Restaurant,32.0,Movie Theatre,15.0,Park/Picnic,5.0,,,,,,
Name A Family Tradition People Might Have For Winter Holidays.,Cooking,40.0,Travel,36.0,Caroling,16.0,Party,6.0,,,,,,
Name Something Your Husband Would Like To Get Rid Of.,Ball & Chain,43.0,Extra Pounds,28.0,Debt,13.0,Pets,11.0,,,,,,
Name Something A Grown Child May Leave In Storage At His Parents House,Old Clothes,35.0,Toys,33.0,Funiture,22.0,Photos,5.0,,,,,,
Name Something That You Shouldnt Have To Do On Your Birthday.,Work,45.0,Clean,35.0,Cook,12.0,Play,3.0,,,,,,
Name Something Youd Need In Order To Play A Game Of Basketball,Basketball,59.0,Hoop,25.0,Court,5.0,Players,4.0,,,,,,
If Someone Turned You Upside Down Name Something That Would Fall Out Of Your Pockets.,Car Keys,54.0,Wallet,33.0,Pen,5.0,Pocket Knife,3.0,,,,,,
Name Something You Might Find Out About A City That Would Make You Change Your Plans To Visit.,Crime Rate,47.0,Weather Forcast,26.0,Natural Disaster,15.0,Political Conflict,7.0,,,,,,
Name Something People Cover When It Rains,Head,28.0,Car,17.0,Outdoor Furniture,7.0,Pool,3.0,,,,,,
Other Than Nice Houses Name A Sign That Youre In A Well-To-Do Neighborhood.,Nice Cars,46.0,Manicured Lawns,27.0,Clean streets,17.0,Pools,10.0,,,,,,
Give Me Another Name That Kids Use For “Father”,Dad,51.0,Daddy,28.0,Papa,10.0,Pop,8.0,,,,,,
Name Something People Imagine Theyd See On Every Street In Hollywood,Celebrities,57.0,Bright Lights,16.0,Palm Trees,15.0,Prints On Sidewalk,8.0,,,,,,
Name A Reason A Person Might Prefer To Walk On A Treadmill Instead Of Taking A Walk Outside.,Weather,62.0,Safer,17.0,Watch TV,11.0,Privacy,8.0,,,,,,
If You Cant Find Your Eye Glasses Where Should You Look?,On Your Head,41.0,Table/Night Stand,22.0,In The Car,19.0,Purse,13.0,,,,,,
Name Something You Do For Your Child And Your Child Does For Her Imaginary Friend.,Feed,65.0,Talk,13.0,Play With,13.0,Read,4.0,,,,,,
Name Something A Parent Might Do To Help Their Baby Fall Asleep.,Sing Lullaby,53.0,Rock Them,32.0,Feed Them,9.0,Read To them,4.0,,,,,,
Name A Subject In School That Would Have Helped Santa Do His Job?,Math,44.0,Geography,25.0,Wood Shop,24.0,Reading/Spelling,5.0,,,,,,
Name Something That Happens To People When Theyre Experiencing An Allergic Reaction.,Hives,38.0,Sneezing,31.0,Swelling,22.0,Red Eyes,6.0,,,,,,
Name A Red Colored Frozen Yogurt Topping.,Strawberry,48.0,Cherry,37.0,Raspberry,9.0,Red Sprinkles,3.0,,,,,,
At A Restaurant What Do You Do If Your Meal Doesnt Taste Very Good.,Send Back/New Dish,40.0,Complain,24.0,Just Eat It,16.0,Refuse To Pay/Refund,8.0,,,,,,
If You Wanted To Have Conversation With Someone Name A Noisy Place Youd Avoid.,Bar,61.0,Concert,16.0,Mall,14.0,Restaurant,4.0,,,,,,
Name An Event Many People Dont Like To Attend Without A Date,Wedding,49.0,Prom,28.0,Party,16.0,Reunion,3.0,,,,,,
Tell Me A Reason Youd Hate To Run Into Your Boss At The Beach.,Called In Sick,47.0,Skimpy Suit,28.0,You’re Drinking,14.0,Ruin A Good Time,9.0,,,,,,
Without Seeing Them Steal Name Something That Youd See A Person Do To Make You Suspicious That Theyre Shoplifting.,Looking Around,59.0,Big Coat,25.0,Hands In Pocket,9.0,Run,3.0,,,,,,
What Kind Of Athlete Would Have An Unfair Advantage In A Roller Derby?,Ice/Speed Skater,49.0,Football Player,20.0,Hockey Player,20.0,Runner,8.0,,,,,,
Name Something Teens Think They Understand Long Before They Really Do.,Love,52.0,Life,23.0,Money,11.0,Safe driving,3.0,,,,,,
What Happens To Your Body That Lets You Know Youre Getting Old?,Werinkles,54.0,Aches,20.0,Gray Hair,14.0,Sagd,8.0,,,,,,
Name A Sound That Gives You A Headache If You Hear It For Too Long.,Siren,45.0,Horn,23.0,Music,20.0,Screaming Baby,7.0,,,,,,
Name Something Teens Should Have To Promise Never To Do Before Getting A Cell Phone.,Talk While Driving,39.0,Prank Call,25.0,Go Over Minutes,23.0,Send Dirty Texts,9.0,,,,,,
Name A Number Associated With A Used Car That Youd Want To Know Before Buying It,Price,48.0,Mileage,27.0,Year Made,15.0,Serial Number,6.0,,,,,,
When Youre Stuck In A Rut Name An Activity That Can Pull You Out,Exercise,40.0,Going Out,30.0,Vacation,14.0,Shopping,12.0,,,,,,
Name Something A Hitchhiker Might Do To Get Noticed.,Stick Thumb Out,47.0,Hold Out A Sign,41.0,Wave,6.0,Shout,2.0,,,,,,
Name Something A Good Neighborhood Kid Might Do For His Elderly Neighbor,Mow Lawn,58.0,Take Out Trash,19.0,Rake Leaves,11.0,Shovel Snow,10.0,,,,,,
What Would A Beauty-Obsessed Person Take Longer To Do?,Fix Hair,40.0,Put On Make Up,30.0,Get Dressed,19.0,Shower,8.0,,,,,,
Name Something A New Parent Tries To Do While The Baby Is Napping.,Nap,54.0,Clean,27.0,Spend Time Togeather,8.0,Shower,6.0,,,,,,
For What Specific Reason Might You Avoid Mistletoe?,Bad Breath,53.0,Nobody To Kiss,34.0,Sick,7.0,Shy,3.0,,,,,,
Name A Fact That Most Residents Dont Know About Their Own State,Population,49.0,State Flower,26.0,State Bird,16.0,Size,6.0,,,,,,
Name Places Where You Might See Santa,Mall,50.0,North Pole,32.0,Home,13.0,Sky,4.0,,,,,,
Tell Me Something Your Body Cant Live Without.,Water,69.0,Food,15.0,Air,6.0,Sleep,5.0,,,,,,
Name Something People Do On Spring Break But Not On An Ordinary Vacation.,Party,41.0,Drink,22.0,Go Naked,14.0,Sleep All Day,13.0,,,,,,
Name Something At A Playground That Youd Never Go On While Queasy.,Merry Go Round,52.0,Swing,24.0,See Saw,13.0,Slide,6.0,,,,,,
Name The Worst Kind Of Footwear To Run A Marathon In.,High Heels,68.0,Boots,14.0,Sandals,13.0,Slippers,3.0,,,,,,
Name A Cartoon Character Whose Head You Might Find At The Top Of A Pez Dispenser.,Bugs Bunny,34.0,Mickey Mouse,28.0,Donald Duck,21.0,Snoopy,13.0,,,,,,
In A Romantic Movie What Event Often Happens At The Movies Finale?,Kiss,50.0,Wedding,27.0,Couple Begins Dating,12.0,Someone Dies,10.0,,,,,,
Name Something About Love That Some People Believe In And Others Dont.,Love At First Sight,34.0,Endless,28.0,Fate,26.0,Soul Mate,9.0,,,,,,
Name A Talent That Cant Be Learned But That You Must Be Born With,Singing,55.0,Dancing,27.0,Drawing,11.0,Sports,3.0,,,,,,
Name A Type Of Photo That Most People Dont Smile In.,Passport,35.0,Mug Shot,32.0,Driver’s License,25.0,Sports Photo,5.0,,,,,,
Name A Bad Job For Someone Who Always Tells The Truth.,Lawyer,37.0,Used Car Sales,21.0,Politician,20.0,Spy,17.0,,,,,,
Name Something A Teacher Might Make Students Do During An Emergency Drill.,Leave Classroom,40.0,Duck And Cover,30.0,Form A Line,18.0,Stay Calm,9.0,,,,,,
